Date,Close
2014-06-13,158.3817138671875
2014-06-16,158.51223754882812
2014-06-17,158.95286560058594
2014-06-18,160.1195068359375
2014-06-19,160.29898071289062
2014-06-20,160.6244659423828
2014-06-23,160.57528686523438
2014-06-24,159.60792541503906
2014-06-25,160.329345703125
2014-06-26,160.214599609375
2014-06-27,160.5260772705078
2014-06-30,160.44412231445312
2014-07-01,161.51797485351562
2014-07-02,161.6819305419922
2014-07-03,162.47711181640625
2014-07-07,161.91152954101562
2014-07-08,160.87037658691406
2014-07-09,161.59176635742188
2014-07-10,160.95236206054688
2014-07-11,161.1736297607422
2014-07-14,161.98529052734375
2014-07-15,161.6819305419922
2014-07-16,162.2803955078125
2014-07-17,160.4359130859375
2014-07-18,162.07542419433594
2014-07-21,161.7720947265625
2014-07-22,162.47711181640625
2014-07-23,162.83778381347656
2014-07-24,162.8459930419922
2014-07-25,162.08364868164062
2014-07-28,162.14923095703125
2014-07-29,161.45240783691406
2014-07-30,161.47698974609375
2014-07-31,158.28814697265625
2014-08-01,157.80445861816406
2014-08-04,158.94393920898438
2014-08-05,157.40277099609375
2014-08-06,157.4519805908203
2014-08-07,156.59942626953125
2014-08-08,158.41107177734375
2014-08-11,158.87013244628906
2014-08-12,158.64881896972656
2014-08-13,159.7227020263672
2014-08-14,160.4768829345703
2014-08-15,160.44412231445312
2014-08-18,161.7885284423828
2014-08-19,162.63290405273438
2014-08-20,163.06736755371094
2014-08-21,163.54278564453125
2014-08-22,163.28871154785156
2014-08-25,164.1166229248047
2014-08-26,164.2232208251953
2014-08-27,164.15760803222656
2014-08-28,164.06748962402344
2014-08-29,164.53475952148438
2014-09-02,164.45274353027344
2014-09-03,164.36256408691406
2014-09-04,164.1248016357422
2014-09-05,164.8625946044922
2014-09-08,164.43634033203125
2014-09-09,163.39524841308594
2014-09-10,164.01007080078125
2014-09-11,164.19866943359375
2014-09-12,163.23948669433594
2014-09-15,163.11660766601562
2014-09-16,164.34622192382812
2014-09-17,164.56748962402344
2014-09-18,165.4447021484375
2014-09-19,165.2955780029297
2014-09-22,164.01905822753906
2014-09-23,163.08009338378906
2014-09-24,164.356689453125
2014-09-25,161.70469665527344
2014-09-26,162.98953247070312
2014-09-29,162.69302368164062
2014-09-30,162.2647247314453
2014-10-01,160.06573486328125
2014-10-02,160.09048461914062
2014-10-03,161.8529815673828
2014-10-06,161.66355895996094
2014-10-07,159.16807556152344
2014-10-08,161.95179748535156
2014-10-09,158.73976135253906
2014-10-10,156.92788696289062
2014-10-13,154.3500213623047
2014-10-14,154.58885192871094
2014-10-15,153.5428466796875
2014-10-16,153.41104125976562
2014-10-17,155.2230682373047
2014-10-20,156.7301483154297
2014-10-21,159.83517456054688
2014-10-22,158.69862365722656
2014-10-23,160.54347229003906
2014-10-24,161.77886962890625
2014-10-27,161.55650329589844
2014-10-28,163.4096221923828
2014-10-29,163.16246032714844
2014-10-30,164.2084503173828
2014-10-31,166.08624267578125
2014-11-03,166.17689514160156
2014-11-04,165.60037231445312
2014-11-05,166.64633178710938
2014-11-06,167.31338500976562
2014-11-07,167.46986389160156
2014-11-10,167.9969024658203
2014-11-11,168.1616973876953
2014-11-12,167.9805145263672
2014-11-13,168.16995239257812
2014-11-14,168.2111053466797
2014-11-17,168.31814575195312
2014-11-18,169.2900390625
2014-11-19,169.0181884765625
2014-11-20,169.31480407714844
2014-11-21,170.22068786621094
2014-11-24,170.69839477539062
2014-11-25,170.5747833251953
2014-11-26,171.0113525390625
2014-11-28,170.64892578125
2014-12-01,169.4629669189453
2014-12-02,170.55836486816406
2014-12-03,171.21722412109375
2014-12-04,171.02784729003906
2014-12-05,171.30784606933594
2014-12-08,170.1630859375
2014-12-09,170.04771423339844
2014-12-10,167.3216094970703
2014-12-11,168.16995239257812
2014-12-12,165.45208740234375
2014-12-15,164.31549072265625
2014-12-16,162.9977569580078
2014-12-17,166.19337463378906
2014-12-18,170.3030242919922
2014-12-19,171.02769470214844
2014-12-22,171.81443786621094
2014-12-23,172.0463104248047
2014-12-24,172.0628662109375
2014-12-26,172.61767578125
2014-12-29,172.84959411621094
2014-12-30,171.9220733642578
2014-12-31,170.2161102294922
2015-01-02,170.12498474121094
2015-01-05,167.05258178710938
2015-01-06,165.47911071777344
2015-01-07,167.541259765625
2015-01-08,170.51419067382812
2015-01-09,169.1477813720703
2015-01-12,167.82281494140625
2015-01-13,167.35076904296875
2015-01-14,166.3403778076172
2015-01-15,164.816650390625
2015-01-16,166.97811889648438
2015-01-20,167.3341522216797
2015-01-21,168.1789093017578
2015-01-22,170.6798553466797
2015-01-23,169.74404907226562
2015-01-26,170.14154052734375
2015-01-27,167.89732360839844
2015-01-28,165.744140625
2015-01-29,167.2761688232422
2015-01-30,165.17271423339844
2015-02-02,167.2182159423828
2015-02-03,169.6364288330078
2015-02-04,168.9904327392578
2015-02-05,170.6964111328125
2015-02-06,170.22438049316406
2015-02-09,169.46253967285156
2015-02-10,171.26788330078125
2015-02-11,171.36721801757812
2015-02-12,173.0152587890625
2015-02-13,173.72743225097656
2015-02-17,174.0006866455078
2015-02-18,174.0172882080078
2015-02-19,173.89303588867188
2015-02-20,174.93650817871094
2015-02-23,174.9116668701172
2015-02-24,175.40859985351562
2015-02-25,175.2594757080078
2015-02-26,175.05242919921875
2015-02-27,174.45620727539062
2015-03-02,175.55758666992188
